id,Header,URL,Author,Date
0,A poker website that is actually good,https://www.theverge.com//games/23653542/poker-now-website-design-ui-gambling,Scott Meslow,6:00 PM GMT+5:30
1,Everybody hates GM’s decision to kill Apple CarPlay and Android Auto for its EVs,https://www.theverge.com//2023/4/4/23669523/gm-apple-carplay-android-auto-ev-restrict-access,Patrick George,Two hours ago
2,Disney is in a land war with the state of Florida,https://www.theverge.com//2023/4/4/23669557/disney-florida-ron-desantis-investigation-campaign-election,Makena Kelly,Two hours ago
3,The live-action Super Mario Bros. movie is even weirder than I remembered,https://www.theverge.com//23668181/super-mario-bros-movie-live-action-revisited,Andrew Webster,An hour ago
4,Walmart’s redesigned website looks better than Amazon,https://www.theverge.com//2023/4/4/23669383/walmart-website-redesign-amazon,Emma Roth,Two hours ago
5,"Watching Silicon Valley Bank melt down from the front row, with Brex CEO Henrique Dubugras",https://www.theverge.com//2023/4/4/23669463/silicon-valley-bank-collapse-brex-ceo-henrique-dubugras-banking-crisis-fintech,Nilay Patel,Two hours ago
6,Say hi to Barbie in the new Barbie movie trailer,https://www.theverge.com//2023/4/4/23669743/barbie-movie-trailer-teaser-2,Andrew Webster,6 minutes ago
7,Pokémon Stadium is coming to Nintendo Switch Online next week — but with a catch,https://www.theverge.com//2023/4/4/23669641/pokemon-stadium-n64-nintendo-switch-online-release-date,Jay Peters,28 minutes ago
8,"GM-owned BrightDrop to add 4,000 electric vans to Ryder’s fleets",https://www.theverge.com//2023/4/4/23669542/gm-brightdrop-ryder-customer-electric-vans,Emma Roth,35 minutes ago
9,Microsoft announces $299.99 Surface Thunderbolt 4 Dock that connects via USB-C,https://www.theverge.com//2023/4/4/23669668/microsoft-surface-thunderbolt-4-dock-specs-pricing-features,Tom Warren,39 minutes ago
10,Apple’s Weather app on iPhone is down for many,https://www.theverge.com//2023/4/4/23669405/apple-weather-app-down-iphone-issues-problems,Tom Warren,59 minutes ago
11,The revenge of the pop-up,https://www.theverge.com//tech/23653544/pop-up-website-ad-ui-design,s.e. smith,6:30 PM GMT+5:30
12,This AI clock uses ChatGPT to generate tiny poems that tell the time,https://www.theverge.com//23669343/ai-clock-chatgpt-poems-rhymes-diy-project,James Vincent,Two hours ago
13,"Peloton machines now work with Samsung’s Wear OS smartwatches, too",https://www.theverge.com//2023/4/4/23668616/peloton-samsung-galaxy-watch-5-wear-os-3,Victoria Song,Two hours ago
14,OnePlus’ new Nord includes a 108-megapixel camera and 67W fast charging,https://www.theverge.com//2023/4/4/23668332/oneplus-nord-ce-3-lite-fast-charging-camera-buds-2-price-date,Jon Porter,Two hours ago
15,The hellish design of the Crusader Kings video games,https://www.theverge.com//games/23653870/crusader-kings-3-design-ui,Gita Jackson,7:00 PM GMT+5:30
16,Harry Potter could be rebooted for the small screen,https://www.theverge.com//2023/4/4/23669353/harry-potter-hbo-warner-bros-discovery-tv-show-reboot,Jon Porter,5:12 PM GMT+5:30
17,Motorola is getting serious with the Edge 40 Pro,https://www.theverge.com//2023/4/4/23668770/motorola-edge-40-pro-specs-screen-battery-camera-price,Allison Johnson,4:30 PM GMT+5:30
18,Microsoft’s next Surface Dock might drop the proprietary connector for USB-C,https://www.theverge.com//2023/4/4/23669313/microsoft-surface-dock-usb-c-thunderbolt-4-connector,Jon Porter,3:34 PM GMT+5:30
19,Everybody wants a piece of Miles in Spider-Man: Across the Spider-Verse’s latest trailer,https://www.theverge.com//2023/4/4/23668235/spider-man-across-the-spider-verse-trailer-2-new-suit,Charles Pulliam-Moore,1:12 PM GMT+5:30
20,Google Drive quietly introduced (then pulled) a file creation limit for all users,https://www.theverge.com//2023/4/3/23667971/google-drive-5-million-files-limit-storage,Emma Roth,12:45 PM GMT+5:30
21,Apple has reportedly started a small number of corporate layoffs,https://www.theverge.com//2023/4/3/23668889/apple-corporate-layoffs-retail-big-tech-cuts,Mitchell Clark,5:04 AM GMT+5:30
22,"The Asus ROG Ally handheld gaming PC is real, not an April Fools’ joke",https://www.theverge.com//2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,Richard Lawler,4:30 AM GMT+5:30
23,"Today in Twitter: where are the retweet labels, and why did Doge replace the bird?",https://www.theverge.com//2023/4/3/23668356/twitter-doge-bird-logo-retweet-labels-following-timeline,Mitchell Clark,4:04 AM GMT+5:30
24,"Opulent, joyous, decadent: the Japanese decoden trend comes to America",https://www.theverge.com//creators/23650385/smartphone-case-iphone-decoden-custom,Mia Sato,Apr 3
25,The best deals on MacBooks right now,https://www.theverge.com//22399419/apple-macbook-air-pro-mac-mini-imac-deals,Antonio G. Di Benedetto,3:04 AM GMT+5:30
26,Hulu’s redesigning its unintuitive interface,https://www.theverge.com//2023/4/3/23668643/hulu-interface-side-bar-redesign,Mitchell Clark,2:54 AM GMT+5:30
27,Google Flights’ price guarantee could pay you back if your tickets get cheaper,https://www.theverge.com//2023/4/3/23668308/google-flights-price-guarantee-ticket-price-change,Mitchell Clark,2:10 AM GMT+5:30
